Market,Predictions,HitRate,AverageProbability,AverageFairOdds,HighConfidencePicks,HighConfidenceHitRate,HighConfidenceAverageProbability,HighConfidenceAverageFairOdds,StrongConfidencePicks,StrongConfidenceHitRate,StrongConfidenceAverageProbability,StrongConfidenceAverageFairOdds,EliteConfidencePicks,EliteConfidenceHitRate,EliteConfidenceAverageProbability,EliteConfidenceAverageFairOdds
HomeCorners_Over_4_5,17399,0.5817000977067648,0.5683871581134833,1.916946903214154,9920,0.6669354838709678,0.6705556779749702,1.5138382136421966,7512,0.6946219382321619,0.7010918414984093,1.4415531489811175,3260,0.7561349693251533,0.771854747861962,1.3014899223785525
AwayCorners_Over_3_5,17399,0.5973906546353238,0.5990614456893403,1.7887994862680308,11798,0.6646041701983387,0.674592494828312,1.502755430000563,9355,0.6876536611437734,0.7003888685142964,1.4413852659770376,4103,0.7545698269558859,0.7658826044844573,1.3110163719536372
TotalCorners_Over_8_5,17399,0.6414161733432956,0.637676579872555,1.5754857098250175,17010,0.6432098765432098,0.6400852032848457,1.5685113386926883,14118,0.6517212069698257,0.6521421916353358,1.537185930550675,1291,0.7041053446940356,0.717693247437818,1.3939780381387519
HomeCorners_Over_5_5,17399,0.44468072877751597,0.43106633585914067,2.706514056080818,3673,0.6256466104002179,0.6483041770168103,1.5626841003655092,2408,0.6656976744186046,0.6873828618983927,1.4676779223827117,900,0.7488888888888889,0.7600773772391964,1.3199577697517777
AwayCorners_Over_4_5,17399,0.4378412552445543,0.4485543388439089,2.551892360763912,4104,0.6157407407407407,0.6385747518158783,1.583328272928443,2582,0.6506584043377227,0.6765502027126956,1.48933650033003,800,0.7475,0.752995963843921,1.3317622609448594
TotalCorners_Over_9_5,17399,0.5248577504454279,0.5189985835636681,1.9421882876567333,4315,0.5701042873696408,0.5785212526505166,1.731317284700254,744,0.6021505376344086,0.6197361119153121,1.6148079501220953,2,1.0,0.7167328686936822,1.3955218943471357
TotalCorners_Over_10_5,17399,0.40875912408759124,0.40157009916295794,2.523775433082407,27,0.5185185185185185,0.5657825372252416,1.7686109051651309,1,1.0,0.6148395910698061,1.6264404806138524,0,0.0,0.0,0.0
