Market,Predictions,Accuracy,LogLoss,BrierScore,ActualHitRate,AverageModelProbability,AverageFairOdds,HighConfidencePicks,HighConfidenceHitRate,HighConfidenceAverageProbability,HighConfidenceAverageFairOdds
HomeCorners_Over_4_5,17399,0.6234266337145813,0.645590723160003,0.22734635542716716,0.5817000977067648,0.5683871581134833,1.916946903214154,9920,0.6669354838709678,0.6705556779749702,1.5138382136421966
AwayCorners_Over_3_5,17399,0.6338295304327835,0.6392996157927877,0.22438077280990593,0.5973906546353238,0.5990614456893403,1.7887994862680308,11798,0.6646041701983387,0.674592494828312,1.502755430000563
TotalCorners_Over_8_5,17399,0.6414161733432956,0.6501313396602686,0.228872239951247,0.6414161733432956,0.637676579872555,1.5754857098250175,17010,0.6432098765432098,0.6400852032848457,1.5685113386926883
HomeCorners_Over_5_5,17399,0.614977872291511,0.6501325921587768,0.22951836278734525,0.44468072877751597,0.43106633585914067,2.706514056080818,3673,0.6256466104002179,0.6483041770168103,1.5626841003655092
AwayCorners_Over_4_5,17399,0.6192309902867981,0.6462468919870189,0.22767495309145158,0.4378412552445543,0.4485543388439089,2.5518923607639117,4104,0.6157407407407407,0.6385747518158783,1.583328272928443
TotalCorners_Over_9_5,17399,0.5379619518363125,0.6891192583501253,0.24799313230200037,0.5248577504454279,0.5189985835636681,1.9421882876567333,4315,0.5701042873696408,0.5785212526505166,1.731317284700254
TotalCorners_Over_10_5,17399,0.5917006724524398,0.6736191154653349,0.24032566484685353,0.40875912408759124,0.40157009916295794,2.5237754330824065,27,0.5185185185185185,0.5657825372252416,1.7686109051651309
