TestSeason,TrainingMatches,TestingMatches,Accuracy,LogLoss
2021,760,380,0.5052631578947369,1.0285410539379938
2022,1140,380,0.5605263157894737,1.0058511096373761
2023,1520,380,0.5447368421052632,0.9590896701253586
2024,1900,380,0.5394736842105263,0.9813222750640269
2025,2280,380,0.531578947368421,0.9768688791760146
