TestSeason,Date,HomeTeam,AwayTeam,Bet,ModelProb,Odds,EV,ActualResult,Profit,Won
2021,2021-09-21,Getafe,Ath Madrid,away,0.7467454067637794,1.66,0.23959737522787372,away,0.6599999999999999,True
2021,2021-09-21,Ath Bilbao,Vallecano,draw,0.33971924772930795,3.5,0.18901736705257788,away,-1.0,False
2021,2021-09-22,Espanol,Alaves,draw,0.36716907966838175,3.5,0.2850917788393361,home,-1.0,False
2021,2021-09-22,Real Madrid,Mallorca,home,0.8983722976387755,1.22,0.09601420311930609,home,0.21999999999999997,True
2021,2021-09-22,Sevilla,Valencia,home,0.6084195707858301,1.61,-0.020444491034813495,home,0.6100000000000001,True
2021,2021-09-22,Villarreal,Elche,draw,0.24025786342326505,4.2,0.009083026377713299,home,-1.0,False
2021,2021-09-23,Cadiz,Barcelona,draw,0.23953271521170819,4.33,0.03717665686669647,draw,3.33,True
2021,2021-09-23,Granada,Sociedad,home,0.25537625120443574,4.2,0.07258025505863008,away,-1.0,False
2021,2021-09-23,Osasuna,Betis,away,0.39618507902878203,3.0,0.18855523708634614,away,2.0,True
2021,2021-09-25,Valencia,Ath Bilbao,home,0.5014497323139274,2.6,0.3037693040162113,draw,-1.0,False
2021,2021-09-25,Sevilla,Espanol,home,0.8568291768512487,1.57,0.3452218076564606,home,0.5700000000000001,True
2021,2021-09-25,Real Madrid,Villarreal,home,0.7961650099685033,1.5,0.19424751495275494,draw,-1.0,False
2021,2021-09-25,Alaves,Ath Madrid,away,0.7937857088708933,1.5,0.19067856330633992,home,-1.0,False
2021,2021-09-26,Barcelona,Levante,home,0.778271786881559,1.4,0.08958050163418241,home,0.3999999999999999,True
2021,2021-09-26,Betis,Getafe,home,0.7045946295376393,1.75,0.23304060169086882,home,0.75,True
2021,2021-09-26,Mallorca,Osasuna,draw,0.3397876836545716,3.2,0.08732058769462925,away,-1.0,False
2021,2021-09-26,Sociedad,Elche,draw,0.2483197651635757,4.5,0.11743894323609072,home,-1.0,False
2021,2021-09-26,Vallecano,Cadiz,draw,0.280982949958696,3.8,0.06773520984304482,home,-1.0,False
2021,2021-09-27,Celta,Granada,away,0.21574404688701587,5.5,0.18659225787858724,home,-1.0,False
2021,2021-10-01,Ath Bilbao,Alaves,draw,0.26126950543556016,3.75,-0.020239354616649385,home,-1.0,False
2021,2021-10-02,Osasuna,Vallecano,draw,0.3545695428607886,3.4,0.20553644572668128,home,-1.0,False
2021,2021-10-02,Mallorca,Levante,away,0.3160215967103857,3.4,0.0744734288153115,home,-1.0,False
2021,2021-10-02,Cadiz,Valencia,draw,0.34097817456036783,3.0,0.022934523681103602,draw,2.0,True
2021,2021-10-02,Ath Madrid,Barcelona,away,0.41754696242537487,4.0,0.6701878497014995,home,-1.0,False
2021,2021-10-03,Elche,Celta,home,0.3335222551457581,3.3,0.1006234419810017,home,2.3,True
2021,2021-10-03,Espanol,Real Madrid,away,0.806178001078272,1.66,0.3382554817899315,home,-1.0,False
2021,2021-10-03,Getafe,Sociedad,away,0.5449845479816109,2.2,0.19896600555954413,draw,-1.0,False
2021,2021-10-03,Granada,Sevilla,away,0.6878888703926106,1.72,0.1831688570752903,home,-1.0,False
2021,2021-10-03,Villarreal,Betis,draw,0.2896388395551309,3.6,0.042699822398471365,home,-1.0,False
2021,2021-10-16,Sociedad,Mallorca,home,0.6998688818854321,1.4,-0.020183565360395228,home,0.3999999999999999,True
2021,2021-10-16,Levante,Getafe,home,0.5187692519590992,2.5,0.29692312989774794,draw,-1.0,False
2021,2021-10-17,Barcelona,Valencia,away,0.15710218336506068,6.5,0.021164191872894422,home,-1.0,False
2021,2021-10-17,Celta,Sevilla,away,0.623092969484811,2.2,0.3708045328665843,away,1.2000000000000002,True
2021,2021-10-17,Vallecano,Elche,home,0.5953532843234767,1.8,0.07163591178225803,home,0.8,True
2021,2021-10-17,Villarreal,Osasuna,home,0.6324779922013877,1.66,0.04991346705430355,away,-1.0,False
