Date,HomeTeam,AwayTeam,Bet,Odds,EV,ActualResult,Profit,Won
2025-03-16,Osasuna,Getafe,home,2.25,0.11720984430665737,away,-1.0,False
2025-03-16,Vallecano,Sociedad,home,2.5,0.059726598101616846,draw,-1.0,False
2025-03-16,Ath Madrid,Barcelona,home,3.1,0.1663306306414376,away,-1.0,False
2025-03-16,Leganes,Betis,draw,3.3,0.11726950112428658,away,-1.0,False
2025-03-27,Barcelona,Osasuna,draw,7.0,0.06834346448728734,home,-1.0,False
2025-03-29,Alaves,Vallecano,away,4.1,0.2409929731556617,away,3.0999999999999996,True
2025-03-30,Valencia,Mallorca,away,3.75,0.06762968636665612,home,-1.0,False
2025-03-30,Getafe,Villarreal,home,3.25,0.06541526961745148,away,-1.0,False
2025-03-30,Barcelona,Girona,away,10.0,0.09574819073554197,home,-1.0,False
2025-03-31,Celta,Las Palmas,draw,4.1,0.06554338511800095,draw,3.0999999999999996,True
2025-04-05,Girona,Alaves,home,2.05,0.2345540965488495,away,-1.0,False
2025-04-05,Mallorca,Celta,home,2.63,0.2505710623625157,away,-1.0,False
2025-04-05,Real Madrid,Valencia,home,1.3,0.03977350575869343,away,-1.0,False
2025-04-06,Valladolid,Getafe,draw,3.1,0.15843426740979716,away,-1.0,False
2025-04-06,Las Palmas,Sociedad,draw,3.2,0.05171910827708226,away,-1.0,False
2025-04-06,Sevilla,Ath Madrid,away,2.2,0.24552119631260183,away,1.2000000000000002,True
2025-04-06,Villarreal,Ath Bilbao,away,3.25,0.23098386187985231,draw,-1.0,False
2025-04-07,Leganes,Osasuna,draw,3.1,0.03719176381547129,draw,2.1,True
2025-04-11,Valencia,Sevilla,home,2.3,0.03711056288417125,home,1.2999999999999998,True
2025-04-12,Celta,Espanol,away,6.0,0.219399387860441,away,5.0,True
2025-04-12,Leganes,Barcelona,draw,6.0,0.5550739089054024,away,-1.0,False
2025-04-12,Sociedad,Mallorca,away,5.5,0.16786616461667325,away,4.5,True
2025-04-13,Alaves,Real Madrid,away,1.62,0.17909618622720958,away,0.6200000000000001,True
2025-04-13,Ath Bilbao,Vallecano,home,1.75,0.1317272480655718,home,0.75,True
