Odds Band,Bets,Win Rate,Average Odds,Average EV,Profit,ROI
1.00-1.50,21,0.7142857142857143,1.3504761904761904,0.06624098445634594,-0.7600000000000005,-0.03619047619047621
1.50-2.00,72,0.5694444444444444,1.727638888888889,0.12686729746344078,-1.9799999999999995,-0.027499999999999993
2.00-3.00,130,0.4461538461538462,2.373,0.17158307943470774,5.99,0.04607692307692308
3.00-5.00,158,0.3037974683544304,3.5287974683544303,0.17435865502724895,7.780000000000001,0.049240506329113934
5.00-10.00,56,0.125,6.303571428571429,0.25015475555721006,-17.0,-0.30357142857142855
10.00-100.00,7,0.0,12.0,0.196098284080572,-7.0,-1.0
