Test Season,Training Matches,Testing Matches,Accuracy,Log Loss,Bets,Win Rate,Average Odds,Profit,ROI
2021,760,380,0.5052631578947369,1.0285410539379938,211,0.35071090047393366,2.983791469194313,-7.590000000000002,-0.03597156398104266
2022,1140,380,0.5605263157894737,1.0058511096373761,202,0.3910891089108911,3.1464851485148517,34.3,0.1698019801980198
2023,1520,380,0.5447368421052632,0.9590896701253586,206,0.3446601941747573,3.16368932038835,0.129999999999999,0.0006310679611650437
2024,1900,380,0.5394736842105263,0.9813222750640269,187,0.2620320855614973,3.153529411764706,-41.56,-0.22224598930481285
2025,2280,380,0.531578947368421,0.9768688791760146,203,0.3645320197044335,3.028275862068965,10.400000000000002,0.05123152709359607
